,Name,Duration,Status,Type,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites,aired_start,aired_end,broadcast_day,broadcast_time,premiered_season,premiered_year
4454,Uchuu Senkan Yamato III: Taiyoukei no Hakai,Unknown,Finished Airing,Special,1,PG 13,"Drama,Action,Sci-Fi,Adventure",none,none,none,146,0,Dec 28, 1983,none,none,none,none
4455,Manyuu Hikenchou Specials,00:03:00,Finished Airing,Special,8,R+,"Ecchi,Action",none,none,Hoods Entertainment,15635,43,2011-10-04,2012-01-07,none,none,none,none
4456,Toshi Souzou Gakubu Shoukai,00:01:00,Finished Airing,ONA,2,G,Slice of Life,none,none,none,487,0,Sep 15, 2015 to Oct 18,none,none,none,none
4457,Yooidon!,00:18:00,Finished Airing,OVA,1,G,Drama,none,none,Toei Animation,216,0,2004-01-01,none,none,none,none,none
4458,Poputepipikku Kinen,00:02:00,Finished Airing,ONA,1,PG 13,Sports,none,none,Space Neko Company,5975,5,2018-06-14,none,none,none,none,none
4459,Zoobles!,00:23:00,Finished Airing,TV,26,G,none,none,none,Dongwoo A&E,393,1,May 18, 2011 to Nov 16,none,none,Spring,2011
4460,Jashin-chan Dropkick',00:23:00,Finished Airing,TV,11,PG 13,"Comedy,Supernatural",none,"ibis Capital Partners,BookLive,Global Solutions",Nomad,45346,107,2020-04-06,2020-06-22,mon,20:30:00,Spring,2020
4461,Pikmin Short Movies,00:07:00,Finished Airing,Movie,3,G,Fantasy,none,Nintendo,Dynamo Pictures,1734,12,2014-10-25,none,none,none,none,none
4462,Owari no Seraph,00:23:00,Finished Airing,TV,12,R 17,"Drama,Action,Supernatural",Funimation,"Rakuonsha,NBCUniversal Entertainment Japan,Shueisha",Wit Studio,1281894,13380,2015-04-04,2015-06-20,sat,22:00:00,Spring,2015
4463,Mini Toji,00:05:00,Finished Airing,TV,10,None,"Fantasy,Comedy,Action",none,"My Theater D.D.,Square Enix,Kadokawa,Mainichi Broadcasting System,Glovision,AT-X,Studio Gokumi,Crunchyroll,Genco",Project No.9,6220,5,2019-01-06,2019-03-17,sun,01:55:00,Winter,2019
4464,Futsuu no Joshikousei ga [Locodol] Yattemita.,00:24:00,Finished Airing,TV,12,PG 13,"Slice of Life,Comedy",Sentai Filmworks,"Nippon Columbia,Overlap,TBS,Fuji Creative,Ichijinsha,DAX Production",feel.,45044,74,2014-07-04,2014-09-19,fri,02:16:00,Summer,2014
4465,Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu,00:56:00,Finished Airing,Special,1,PG 13,Comedy,none,none,Shaft,10522,5,2008-08-27,none,none,none,none,none
4466,Niehime to Kemono no Ou,00:23:00,Currently Airing,TV,24,PG 13,"Fantasy,Romance",none,"WOWMAX,Crunchyroll,Contents Seed,Hakusensha,BS11,Pony Canyon",J.C.Staff,43131,231,2023-04-20,none,thur,00:00:00,Spring,2023
4467,Mutsu Enmei Ryuu Gaiden: Shura no Toki,00:23:00,Finished Airing,TV,26,PG 13,Action,Media Blasters,"TV Tokyo,Media Factory,Marvelous,Sotsu",Studio Comet,23950,131,2004-04-06,2004-09-28,tue,18:00:00,Spring,2004
4468,Tiaoyue Zhanshi,00:15:00,Finished Airing,ONA,26,PG,none,none,none,none,48,0,2018-03-26,none,none,none,none,none
4469,Quanzhi Gaoshou: Dianfeng Rongyao,01:37:00,Finished Airing,Movie,1,PG 13,Action,none,"bilibili,China Literature Limited,Colored Pencil Animation Japan",Colored Pencil Animation,47928,128,2019-08-16,none,none,none,none,none
4470,Aggressive Retsuko (ONA) 3rd Season,00:16:00,Finished Airing,ONA,10,PG 13,Comedy,none,"Sanrio,Netflix",Fanworks,85007,251,2020-08-27,none,none,none,none,none
4471,Tobidase! Dokan-kun,00:03:00,Finished Airing,TV,15,G,Comedy,none,none,DLE,223,0,Oct 26, 2011 to Mar 14,none,none,Fall,2011
4472,Xiao Xiongmao Xue Mu Jiang,00:16:00,Finished Airing,Movie,1,PG,none,none,none,Shanghai Animation Film Studio,75,0,1982-01-01,none,none,none,none,none
4473,Mimi wo Sumaseba,01:51:00,Finished Airing,Movie,1,G,"Drama,Romance","Disney Platform Distribution,GKIDS",Tokuma Shoten,Studio Ghibli,340532,4694,1995-07-15,none,none,none,none,none
4474,Xingji Da Taowang,01:28:00,Finished Airing,Movie,1,PG,"Sci-Fi,Adventure,Fantasy",none,none,none,60,0,Jun 1, 2020,none,none,none,none
4475,Ninja Batman x Poputepipikku Kindan no Collab CM,15 sec.,Finished Airing,Special,1,PG,none,none,none,Kamikaze Douga,5903,3,Mar 24, 2018,none,none,none,none
4476,Tezuka Osamu no Buddha: Akai Sabaku yo! Utsukushiku,01:51:00,Finished Airing,Movie,1,R 17,"Supernatural,Drama",none,"Yomiuri Shimbun,Toei Video,Tezuka Productions,Warner Bros. Japan",Toei Animation,9401,18,2011-05-28,none,none,none,none,none
4477,Ahiru no Pekkle no Hihou wo Sagase,00:20:00,Finished Airing,OVA,1,G,"Adventure,Fantasy",none,Sanrio,none,449,2,Apr 21, 1993,none,none,none,none
4478,Tamayura: Sotsugyou Shashin Part 3 - Akogare,00:51:00,Finished Airing,Movie,1,G,"Drama,Slice of Life,Comedy",none,"Shochiku,flying DOG",TYO Animations,9542,12,2015-11-28,none,none,none,none,none
