Name,Aired,Broadcast,Duration,Status,Type,Premiered,Episodes,Rating,Genres,Licensors,Producers,Studios,Members,Favorites
Lan Mo de Hua,"2017-07-13,2017-08-14",none,00:13:00,Finished Airing,ONA,none,9,PG 13,Romance,none,Colored Pencil Animation Japan,Colored Pencil Animation,5619,17
Taiyou no Ko Esteban,"1982-05-01,1983-02-05",Unknown,00:27:00,Finished Airing,TV,Spring 1982,39,PG 13,"Sci-Fi,Adventure",none,DiC Entertainment,Pierrot,12752,109
Wan Yu Zhi Wang,"2022-01-27,2022-07-07",none,00:12:00,Finished Airing,ONA,none,24,PG 13,"Fantasy,Action",none,iQIYI,"Xing Yi Kai Chen,Kuai Ying Hu Yu",706,4
YanYan Machiko,"Dec 25, 2009 to Aug 20, 2015",none,00:02:00,Finished Airing,ONA,none,11,G,"Slice of Life,Comedy",none,none,Kanaban Graphics,707,0
Bishoujo Senshi Sailor Moon R,"1993-03-06,1994-03-12",Unknown,00:24:00,Finished Airing,TV,Spring 1993,43,PG 13,"Fantasy,Romance","VIZ Media,DiC Entertainment,ADV Films","Toei Advertising,TV Asahi",Toei Animation,153201,814
Ben-To Picture Drama,"2011-12-21,2012-05-16",none,00:09:00,Finished Airing,Special,none,6,PG 13,Comedy,none,AT-X,David Production,11991,1
Yong Yitian de Shijian Huiyi Wo,"Sep 20, 2016",none,00:04:00,Finished Airing,Movie,none,1,PG,"Drama,Fantasy",none,none,none,82,0
Sore Ike! Anpanman: Ningyohime no Namida,2000-07-29,none,00:55:00,Finished Airing,Movie,none,1,PG,Comedy,none,none,TMS Entertainment,452,0
Touken Ranbu: Hanamaru,"2016-10-03,2016-12-19","mon,00:00:00",00:24:00,Finished Airing,TV,Fall 2016,12,PG 13,"Comedy,Drama,Fantasy,Action,Slice of Life",Funimation,"Nitroplus,Good Smile Company,DMM.com,Marvelous,TOHO animation,Delfi Sound",Doga Kobo,82571,468
Star Dust,"Sep 25, 1992",none,00:32:00,Finished Airing,OVA,none,1,PG 13,Sci-Fi,none,Victor Entertainment,none,685,0
Galaxy Angel S,2004-04-23,none,00:24:00,Finished Airing,OVA,none,1,PG 13,"Comedy,Sci-Fi","Bandai Entertainment,Nozomi Entertainment",Bandai Visual,Madhouse,2470,2
